ID,Filum,Clase,Orden,Familia,Género,Especie trófica,Abundancia (ind/m3),Biomasa                       (mg C/m3),Peso             (g),Talla (mm),Nombre común,Hábitat,Dominio,Referencia,Enlace
133,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Gymnoscopelus,Gymnoscopelus_nicholsi,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
134,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Gymnoscopelus,Gymnoscopelus*,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
135,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Krefftichthys,Krefftichthys_andersoni,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
136,Chordata,Actinopterygii,Gadiformes,Macrouridae,NA,Macrouridae*,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
137,Chordata,Actinopterygii,Gadiformes,Melanonidae,Melanonus,Melanonus_gracilis,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
138,Mollusca,Cephalopoda,Teuthida,Gonatidae,Gonatus,Gonatus_antarcticus,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
139,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Kondakovia ,Kondakovia _longimana,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
140,Mollusca,Cephalopoda,Oegopsida,Batotheutidae,Batoteuthis,Batoteuthis_skolops,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
141,Mollusca,Cephalopoda,Teuthida,Histioteuthidae,Histioteuthis,Histioteuthis*,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
142,Mollusca,Cephalopoda,Oegopsida,Neoteuthidae,Alluroteuthis,Alluroteuthis_antarcticus,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
143,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Martialia,Martialia_hyadesi,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
144,Mollusca,Cephalopoda,Oegopsida,Mastigoteuthidae,Mastigoteuthis,Mastigoteuthis_psychrophila,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
145,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis,Galiteuthis_glacialis,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
146,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Taonius,Taonius*,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
147,Arthropoda,Malacostraca,Gammaridea,NA,NA,Gammaridea*,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
148,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto_gaudicahudii,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
149,Arthropoda,Malacostraca,Isopoda,Anuropidae,Anuropus,Anuropus_antarcticus,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
150,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra ,Acanthephyra _pelagica,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
151,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra ,Acanthephyra* ,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
152,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,Pasiphaea_longispina,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
153,Arthropoda,Malacostraca,Euphausiacea,Euphausiacea,Euphausia,Euphausia_superba,,,,,Krill,Planctónico,"CCA, CCH","Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
154,Arthropoda,Malacostraca,Mysidacea,Gnathophausiidae,NA,Gnathophausiidae*,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
155,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche_chrysostoma,,,,,,,,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
156,Chordata,Actinopterygii,Anguiliformes,Synaphobranchidae,Diastobranchus,Diastobranchus_capensis,,,,,,,,"Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",http://dx.doi.org/10.4067/S0718-19572009000100006
157,Chordata,Actinopterygii,Gadiformes,Macrouridae,Macrourus,Macrourus_carinatus,,,,,,,,"Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",http://dx.doi.org/10.4067/S0718-19572009000100006
158,Chordata,Actinopterygii,Gadiformes,Macrouridae,Macrourus,Macrourus_holotrachys,,,,,,,,"Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",http://dx.doi.org/10.4067/S0718-19572009000100006
159,Chordata,Actinopterygii,Gadiformes,Macrouridae,Caelorinchus,Caelorinchus_fasciatus,,,,,,,,"Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",http://dx.doi.org/10.4067/S0718-19572009000100006
160,Chordata,Actinopterygii,Gadiformes,Macrouridae,Caelorinchus,Caelorinchus_chilensis,,,,,,,,"Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",http://dx.doi.org/10.4067/S0718-19572009000100006
161,Chordata,Actinopterygii,Gadiformes,Moridae,Antimora,Antimora_rostrata,,,,,,,,"Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",http://dx.doi.org/10.4067/S0718-19572009000100006
162,Chordata,Actinopterygii,Gadiformes,Moridae,Lepidion,Lepidion_ensiferus,,,,,,,,"Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",http://dx.doi.org/10.4067/S0718-19572009000100006
163,Chordata,Actinopterygii,Perciformes,Nototheniidae,Dissostichus,Dissostichus_eleginoides,,,,,Merluza negra,Demersal,,"Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",http://dx.doi.org/10.4067/S0718-19572009000100006
164,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,NA,Liparidae*,,,,,,,,"Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",http://dx.doi.org/10.4067/S0718-19572009000100006
165,Chordata,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus ,Lagenorhynchus_australis,,,,,Delfín Austral,,,"Goodall, R. N. P. (2009). Peale's Dolphin: Lagenorhynchus australis. In Encyclopedia of marine mammals (pp. 844-847). Academic Press.",https://doi.org/10.1016/B978-0-12-373553-9.00196-6
166,Chordata,Mammalia,Cetartiodactyla ,Delphinidae,Grampus,Grampus_griseus,,,,,,,CB,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
167,Chordata,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus ,Lagenorhynchus_cruciger,,,,,Delfín cruzado,,CB,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
168,Chordata,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus ,Lagenorhynchus_australis,,,,,Delfín Austral,,CB,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
169,Chordata,Mammalia,Cetartiodactyla ,Delphinidae,Lissodelphis,Lissodelphis_peronii,,,,,,,CB,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
170,Chordata,Mammalia,Cetartiodactyla ,Delphinidae,Pseudorca,Pseudorca_crassidens,,,,,,,CB,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
171,Chordata,Mammalia,Cetartiodactyla ,Delphinidae,Cephalorhynchus,Cephalorhynchus_commersonii,,,,,Tonina overa,,CB,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
172,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena_dioptrica,,,,,,,CB,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
173,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena_spinipinnis,,,,,,,CB,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
174,Chordata,Actinopteri ,Gadiformes ,Merlucciidae ,Merluccius,Merluccius_hubbsi,,,,,Merluza Argentina,Demersal,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
175,Chordata,Actinopteri ,Gadiformes ,Merlucciidae ,Merluccius,Merluccius_australis,,,,,Merluza austral,Demersal,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
176,Chordata,Actinopteri ,Gadiformes ,Moridae ,Salilota,Salilota_australis,,,,,Bacalao criollo,Pelágico,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
177,Chordata,Actinopteri ,Gadiformes ,Merlucciidae ,Macruronus,Macruronus_magellanicus,,,,,Merluza de cola,Demersal,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
178,Chordata,Actinopteri ,Perciformes,Bovichtidae,Cottoperca,Cottoperca_gobio,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
179,Chordata,Actinopteri ,Gadiformes ,Macrouridae,Coelorinchus,Coelorinchus_fasciatus,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
180,Chordata,Actinopteri ,Perciformes,Zoarcidae,Iluocoetes,Iluocoetes_fimbriatus,,,,,,Demersal,"CB, CCH","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
181,Chordata,Actinopteri ,Perciformes,Psychrolutidae ,Cottunculus,Cottunculus_granulosus,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
182,Chordata,Actinopteri ,Perciformes,Nototheniidae,Dissostichus,Dissostichus_eleginoides,,,,,Merluza negra,Demersal,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
183,Chordata,Actinopteri ,Ophidiiformes,Ophidiidae ,Genypterus,Genypterus_blacodes,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
184,Chordata,Actinopteri ,Perciformes,Nototheniidae,NA,Nototheniidae*,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
185,Chordata,Actinopteri ,Gadiformes ,Gadidae,Micromesistius,Micromesistius_australis,,,,,Bacaladilla,Pelágico,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
186,Chordata,Actinopteri ,Perciformes,Nototheniidae,Patagonotothen,Patagonotothen_ramsayi,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
187,Chordata,Actinopteri ,Zeiformes ,Oreosomatidae ,Pseudocyttus,Pseudocythus_maculatus,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
188,Chordata,Actinopteri ,Myctophiformes ,Myctophidae ,NA,Myctophidae* ,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
189,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae ,Bathyraja,Bathyraja_macloviana,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
190,Chordata,Actinopteri ,Perciformes,Nototheniidae,Eleginops,Eleginops_maclovinus,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
191,Chordata,Actinopteri ,Perciformes,Zoarcidae,NA,Zoarcidae*,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
192,Chordata,Actinopteri ,Perciformes,Nototheniidae,Patagonotothen ,Patagonotothen* ,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
193,Chordata,Actinopteri ,Perciformes,Nototheniidae,Patagonotothen ,Patagonotothen_sima,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
194,Chordata,Actinopteri ,Perciformes,Nototheniidae,Patagonotothen ,Patagonotothen_tessellata,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
195,Chordata,Actinopteri ,Atheriniformes,Atherinidae,Odonthestes,Odonthestes*,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
196,Chordata,Actinopteri ,Clupeiformes ,Clupeidae,Sprattus,Sprattus_fuegensis,,,,,"Sardina fueguina, Fuegian sprat",Pelágico,"CCH, CB","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
197,Mollusca,Cephalopoda ,Myopsida,Loliginidae ,Loligo,Loligo_gahi,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
198,Mollusca,Cephalopoda ,Oegopsida ,Ommastrephidae ,llex,llex*,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
199,Mollusca,Cephalopoda ,Oegopsida ,Ommastrephidae ,llex,Ilex_argentinus,,,,,Calamar o Pota argentina,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
200,Mollusca,Cephalopoda ,Oegopsida ,Onychoteuthidae ,Moroteuthis,Moroteuthis_ingens,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
201,Mollusca,Cephalopoda ,Sepioidea,Sepiolidae,Semirrosia,Semirrosia_tenera,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
202,Mollusca,Cephalopoda ,Octopoda,Enteroctopodidae,Enteroctopus,Enteroctopus_megalocyathus,,,,,Pulpo rojo patagónico,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
203,Arthropoda,Malacostraca,Decapoda,Campylonotidae ,Campylognathus,Campylognathus_vagans,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
204,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,Munida_gregaria,,,,,Langosta en cuclillas,Bentopelágico,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
205,Arthropoda,Malacostraca,Euphausiacea ,Euphausiidae ,Euphausia,Euphausia_lucens,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
206,Arthropoda,Copepoda ,Calanoida,Calanidae,Calanus,Calanus_australis,,,,,,,,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
